date,id,charter_type,name_legal,name,org_type,fed_district_code,city,country,state,fed_regulator2,lei,parent_id
20171231.0,449038.0,250.0,"CITICORP TRUST DELAWARE, NATIONAL ASSOCIATION",CITICORP TR DE NA,1.0,0.0,GREENVILLE,UNITED STATES,DE,OCC,549300Z028KWUGO55108,3375370.0
20171231.0,449430.0,200.0,FIRST EXCHANGE BANK OF ALABAMA,FIRST EXCH BK OF AL,1.0,6.0,LOUISVILLE,UNITED STATES,AL,FDIC,549300CYIVHUDDNUD808,3438051.0
20171231.0,449515.0,0.0,NEW YORK BRANCH,METROPOLITAN B&TC NY BR,0.0,0.0,NEW YORK,UNITED STATES,NY,OCC,0,449515.0
20171231.0,449560.0,0.0,LOS ANGELES BRANCH,SHIZUOKA BK LA BR,0.0,0.0,LOS ANGELES,UNITED STATES,CA,FRS,0,449560.0
20171231.0,449832.0,200.0,MARION BANK AND TRUST COMPANY,MARION B&TC,1.0,6.0,MARION,UNITED STATES,AL,FDIC,0,1248023.0
20171231.0,449841.0,200.0,FARMERS DEPOSIT BANK,FARMERS DEP BK,1.0,8.0,MIDDLEBURG,UNITED STATES,KY,FDIC,0,2753869.0
20171231.0,449935.0,300.0,COUNTRY TRUST BANK,COUNTRY TR BK,1.0,7.0,BLOOMINGTON,UNITED STATES,IL,OCC,0,449935.0
20171231.0,450472.0,310.0,LOOMIS FEDERAL SAVINGS AND LOAN ASSOCIATION,LOOMIS FS&LA,6.0,7.0,CHICAGO,UNITED STATES,IL,OCC,0,450472.0
20171231.0,450632.0,200.0,FIRST NATIONAL COMMUNITY BANK,FIRST NAT CMNTY BK,1.0,6.0,CHATSWORTH,UNITED STATES,GA,OCC,0,1084481.0
20171231.0,450669.0,200.0,"FIRST NATIONAL BANK OF ELY, THE",FIRST NB,1.0,12.0,ELY,UNITED STATES,NV,OCC,0,450669.0
20171231.0,450753.0,200.0,FAYETTEVILLE BANK,FAYETTEVILLE BK,1.0,11.0,FAYETTEVILLE,UNITED STATES,TX,FDIC,0,2112439.0
20171231.0,450810.0,0.0,NEW YORK BRANCH,TORONTO-DOMINION BK NY BR,0.0,0.0,NEW YORK,UNITED STATES,NY,OCC,0,450810.0
20171231.0,450856.0,200.0,UNION BANK AND TRUST COMPANY,UNION B&TC,1.0,10.0,LINCOLN,UNITED STATES,NE,FDIC,R6KJ2D7C3UT8OVTWHS39,1053580.0
20171231.0,450959.0,200.0,SECURITY FINANCIAL BANK,SECURITY FNCL BK,1.0,9.0,DURAND,UNITED STATES,WI,FRS,5493002T397LUNQ31179,2848804.0
20171231.0,451068.0,200.0,FIRST BANK,FIRST BK,1.0,12.0,KETCHIKAN,UNITED STATES,AK,FDIC,0,1416701.0
