source,id,lender_TopName,Match_Type,highest_parent_id,RSSD,CU_NAME
1.0,3255100,SUNSOUTH BSHRS,BHC,,,
1.0,3274727,COASTALSOUTH BANCSHARES INC,BHC,,,
1.0,329587,BALTIMORE COUNTY EMPLOYEES CU,Credit Union,,329587.0,BALTIMORE COUNTY EMPLOYEES
3.0,3303944,PACIFIC WEST BANK,Call_Parent,,,
1.0,3325740,SOUTHERN NATIONAL BANCORP OF VIRGINIA INC,BHC,,,
1.0,3339046,STONEGATE BANK,No Match,,,
1.0,3342671,ANCHOR COMMERCIAL BANK,Call_Parent,,,
1.0,3344312,TRADITION BANCSHARES INC,BHC,,,
1.0,3353837,PILOT POINT BANCORP INC ESOP,No Match,,,
1.0,3356632,WESTERN ILLINOIS BANCSHARES INC,BHC,,,
1.0,335980,COMMUNITY FOCUS FEDERAL CREDIT UNION,Credit Union,,335980.0,COMMUNITY FOCUS
3.0,3383076,TRIVALLEY BANK,Call_Parent,,,
1.0,3402913,BANESCO USA,Call_Parent,,,
1.0,343088,CARTER FEDERAL CREDIT UNION,Credit Union,,343088.0,CARTER
3.0,344692,WESCOM CENTRAL CREDIT UNION,Credit Union,,344692.0,WESCOM CENTRAL
3.0,3447875,PLAZA BANK,No Match,,,
3.0,3448162,LONE STAR BANK,Call_Parent,,,
1.0,3450521,EVERGREEN BANCSHARES INC,BHC,,,
3.0,3466456,NHB HOLD,No Match,,,
1.0,3470154,US METRO BK,Call_Parent,,,
1.0,3474835,GREEN BANCORP INC,BHC,,,
1.0,3488234,RESERVE FNCL ASSC LLC,BHC,,,
1.0,3488289,COMMUNITY BANCSHARES OF KANSAS INC,No Match,,,
1.0,3489594,PACIFIC PREMIER BANCORP INC,BHC,,,
1.0,3530786,MERCHANTS BANCORP,BHC,,,
1.0,3541483,AVENUE FNCL HOLD,No Match,,,
1.0,3547999,BANGOR BANCORP MHC,BHC,,,
1.0,3551361,HERITAGE BC,No Match,,,
1.0,3559198,FORTIS FINANCIAL INC,BHC,,,
3.0,3559844,WESTERN AZ BC,BHC,,,
1.0,3560756,COLLIN BANK,No Match,,,
1.0,3577419,HOMEBANCORP,BHC,,,
3.0,3587146,BANK OF NEW YORK MELLON CORPORATION THE,BHC,,,
1.0,3592047,GOLDWATER BANK NATIONAL ASSOCIATION,Call_Parent,,,
3.0,3595431,ST ANNE BANCORP INC,BHC,,,
3.0,3609682,TALMER BC,No Match,,,
1.0,3612543,LEVEL ONE BANCORP INC,BHC,,,
1.0,3614958,CALIFORNIA BANK OF COMMERCE,Call_Subsidiary,5116344,,
1.0,3619720,MINEOLA COMMUNITY MUTUAL HOLDING COMPANY,BHC,,,
1.0,3628535,VIRGINIA CMNTY CAP,BHC,,,
1.0,3632000,REGENT CAPITAL CORPORATION,BHC,,,
1.0,3637582,FRANKLIN FINANCIAL NETWORK INC,BHC,,,
3.0,36483,VANTRIA FEDERAL CREDIT UNION,No Match,,,
1.0,3649950,PALOMAR ENTERPRISES LLC,BHC,,,
1.0,3650152,PEOPLES UNITED FINANCIAL INC,BHC,,,
3.0,3654712,NEW JERSEY COMMUNITY BANK,Call_Parent,,,
3.0,366573,ALASKA USA FEDERAL CREDIT UNION,Credit Union,,366573.0,GLOBAL
1.0,367392,ALLIANT CREDIT UNION,Credit Union,,367392.0,ALLIANT
3.0,368492,WRIGHTPATT CREDIT UNION INC,Credit Union,,368492.0,"WRIGHT-PATT CREDIT UNION, INC."
3.0,3694026,PARKSIDE FNCL,BHC,,,
1.0,3695667,SILVERGATE CAPITAL CORPORATION,BHC,,,
1.0,3721511,OCULINA BANC CORP,BHC,,,
