date,id_call,charter_type_call,name_legal_call,name_call,org_type_call,fed_district_code_call,city_call,country_call,state_call,fed_regulator2_call,lei_call,parent_id_call,common_id,id,fed_district_code,NONINTEREST-BEARING DEPOSITS (BHC CONSOL. FOREIGN OFC.),INTEREST-BEARING DEPOSITS (BHC CONSOL. U.S. OFC),charter_type,city,country,parent_id,lei,name_legal,name,org_type,fed_regulator,state
20171231.0,344647.0,200.0,"FIRST BANKERS TRUST COMPANY, NATIONAL ASSOCIATION",FIRST BKR TC NA,1.0,8.0,QUINCY,UNITED STATES,IL,OCC,0,1404632.0,1404632.0,1404632,8,115446.0,641387.0,500,QUINCY,UNITED STATES,0,0,"FIRST BANKERS TRUSTSHARES, INC.",FIRST BKR TRUSTSHARES,1,FRS,IL
20171231.0,344816.0,200.0,"CITIZENS DEPOSIT BANK & TRUST, INC.",CITIZENS DEPOSIT B&TC,1.0,4.0,VANCEBURG,UNITED STATES,KY,FDIC,549300BDG3JYX3L37670,2007647.0,2007647.0,2007647,5,332588.0,940087.0,500,HUNTINGTON,UNITED STATES,0,0,"PREMIER FINANCIAL BANCORP, INC.",PREMIER FNCL BC,1,FRS,WV
20171231.0,2692753.0,200.0,"PREMIER BANK, INC.",PREMIER BK,1.0,5.0,HUNTINGTON,UNITED STATES,WV,FDIC,549300SY7D44QB2JV602,2007647.0,2007647.0,2007647,5,332588.0,940087.0,500,HUNTINGTON,UNITED STATES,0,0,"PREMIER FINANCIAL BANCORP, INC.",PREMIER FNCL BC,1,FRS,WV
20171231.0,345345.0,200.0,"AMERICAN BANK, NATIONAL ASSOCIATION",AMERICAN BK NA,1.0,7.0,LE MARS,UNITED STATES,IA,OCC,0,1201457.0,1201457.0,1201457,7,124763.0,831734.0,500,SIOUX CENTER,UNITED STATES,0,5493003ZC7SKISBA2026,"AMBANK COMPANY, INC.",AMBANK CO,1,FRS,IA
20171231.0,735441.0,200.0,AMERICAN STATE BANK,AMERICAN ST BK,1.0,7.0,SIOUX CENTER,UNITED STATES,IA,FDIC,549300BNZVNK1XN85P72,1201457.0,1201457.0,1201457,7,124763.0,831734.0,500,SIOUX CENTER,UNITED STATES,0,5493003ZC7SKISBA2026,"AMBANK COMPANY, INC.",AMBANK CO,1,FRS,IA
20171231.0,348207.0,300.0,BELMONT SAVINGS BANK,BELMONT SVG BK,1.0,1.0,BELMONT,UNITED STATES,MA,FDIC,549300U2W3RYPYVWZY37,3929791.0,3929791.0,3929791,1,222309.0,1535800.0,500,BELMONT,UNITED STATES,0,0,BSB BANCORP INC.,BSB BC,1,FRS,MA
20171231.0,352772.0,200.0,BANNER BANK,BANNER BK,1.0,12.0,WALLA WALLA,UNITED STATES,WA,FDIC,WE0I402RW25AU38DTI13,2126977.0,2126977.0,2126977,12,3265544.0,4917887.0,500,WALLA WALLA,UNITED STATES,0,0,BANNER CORPORATION,BANNER CORP,1,FRS,WA
20171231.0,447874.0,200.0,ISLANDERS BANK,ISLANDERS BK,1.0,12.0,FRIDAY HARBOR,UNITED STATES,WA,FDIC,0,2126977.0,2126977.0,2126977,12,3265544.0,4917887.0,500,WALLA WALLA,UNITED STATES,0,0,BANNER CORPORATION,BANNER CORP,1,FRS,WA
20171231.0,353555.0,200.0,AMARILLO NATIONAL BANK,AMARILLO NB,1.0,11.0,AMARILLO,UNITED STATES,TX,OCC,549300ASIS4D2QDWH380,1107205.0,1107205.0,1107205,11,421670.0,2864958.0,500,AMARILLO,UNITED STATES,0,0,"AMARILLO NATIONAL BANCORP, INC.",AMARILLO NAT BC,1,FRS,TX
20171231.0,354310.0,200.0,UNIVEST BANK AND TRUST CO.,UNIVEST B&TC,1.0,3.0,SOUDERTON,UNITED STATES,PA,FRS,0,1116609.0,1116609.0,1116609,3,107585.0,3447334.0,500,SOUDERTON,UNITED STATES,0,0,UNIVEST CORPORATION OF PENNSYLVANIA,UNIVEST CORP OF PA,1,FRS,PA
