source,lender_TopRSSDID,lender_TopName,normalized_name,date,id,charter_type,name_legal,name,org_type,fed_district_code,city,country,state,fed_regulator2,lei,parent_id,normalized_name_x,fuzzy_matched_name_fr,fuzzy_matched_name_call,normalized_name_y
1.0,f328,MAIN STREET BANK,main street bank,20171231.0,818401.0,300.0,MAIN STREET BANK,MAIN ST BK,6.0,1.0,MARLBOROUGH,UNITED STATES,MA,FDIC,0,3469354.0,,,,
3.0,f335,MBANK,mbank,20171231.0,132554.0,200.0,MBANK,MBANK,1.0,9.0,MANISTIQUE,UNITED STATES,MI,FDIC,549300X3PFQJ32XJSB27,1123933.0,,,,
1.0,f342,MERCHANTS BANK,merchants bank,20171231.0,147633.0,200.0,MERCHANTS BANK,MERCHANTS BK,1.0,6.0,JACKSON,UNITED STATES,AL,FDIC,0,1085107.0,,,,
1.0,f343,MERIDIAN BANK,meridian bank,20171231.0,3271799.0,200.0,MERIDIAN BANK,MERIDIAN BK,1.0,3.0,MALVERN,UNITED STATES,PA,FDIC,0,3271799.0,,,,
1.0,f352,MIDWEST BANK,midwest bank,20171231.0,709143.0,200.0,MIDWEST BANK,MIDWEST BK,1.0,7.0,MONMOUTH,UNITED STATES,IL,FRS,0,3356632.0,,,,
1.0,f375,NATIONAL BANK,national bank,20171231.0,659341.0,200.0,NATIONAL BANK,NATIONAL BK,1.0,8.0,HILLSBORO,UNITED STATES,IL,OCC,0,1098581.0,,,,
1.0,f401,OAKWOOD BANK,oakwood bank,20171231.0,960560.0,200.0,OAKWOOD BANK,OAKWOOD BK,1.0,11.0,DALLAS,UNITED STATES,TX,FDIC,0,5008971.0,,,,
2.0,f424,PEOPLE'S BANK,peoples bank,20171231.0,70638.0,200.0,PEOPLES BANK,PEOPLES BK,1.0,6.0,MENDENHALL,UNITED STATES,MS,FDIC,0,4189314.0,,,,
1.0,f428,PEOPLES BANK,peoples bank,20171231.0,70638.0,200.0,PEOPLES BANK,PEOPLES BK,1.0,6.0,MENDENHALL,UNITED STATES,MS,FDIC,0,4189314.0,,,,
1.0,f429,PEOPLES NATIONAL BANK,peoples national bank,20171231.0,483537.0,200.0,PEOPLES NATIONAL BANK,PEOPLES NB,1.0,6.0,NICEVILLE,UNITED STATES,FL,OCC,0,1363793.0,,,,
1.0,f431,PEOPLES STATE BANK,peoples state bank,20171231.0,43351.0,200.0,PEOPLES STATE BANK,PEOPLES ST BK,1.0,10.0,MANHATTAN,UNITED STATES,KS,FDIC,0,2935496.0,,,,
1.0,f436,PINNACLE BANK,pinnacle bank,20171231.0,288376.0,200.0,PINNACLE BANK,PINNACLE BK,1.0,6.0,JASPER,UNITED STATES,AL,FDIC,0,2520605.0,,,,
1.0,f441,PREFERRED BANK,preferred bank,20171231.0,203070.0,300.0,PREFERRED BANK,PREFERRED BK,1.0,11.0,HOUSTON,UNITED STATES,TX,OCC,0,3823189.0,,,,
1.0,f447,"PROVIDENT BANK, THE",provident bank the,20171231.0,375502.0,300.0,"PROVIDENT BANK, THE",PROVIDENT BK,6.0,1.0,AMESBURY,UNITED STATES,MA,FDIC,549300GBPH5PK1AIGV76,2838159.0,,,,
1.0,f481,SECURITY STATE BANK,security state bank,20171231.0,43052.0,200.0,SECURITY STATE BANK,SECURITY ST BK,1.0,9.0,IRON RIVER,UNITED STATES,WI,FDIC,0,1128497.0,,,,
3.0,f490,SIGNATURE BANK,signature bank,20171231.0,2942690.0,200.0,SIGNATURE BANK,SIGNATURE BK,1.0,2.0,NEW YORK,UNITED STATES,NY,FDIC,0,2942690.0,,,,
1.0,f5034792,MIZUHO BANK (USA),mizuho bank usa,20171231.0,229913.0,200.0,MIZUHO BANK (USA),MIZUHO BK USA,1.0,2.0,NEW YORK,UNITED STATES,NY,FRS,51KMXRLB0RIEGI0WJN58,5034792.0,,,,
3.0,f506,STAR BANK,star bank,20171231.0,715050.0,200.0,STAR BANK,STAR BK,1.0,9.0,MAPLE LAKE,UNITED STATES,MN,FDIC,549300MNZNDD5FZ2PF62,1827718.0,,,,
1.0,f507,STATE BANK,state bank,20171231.0,231149.0,200.0,STATE BANK,STATE BK,1.0,7.0,NEW HAMPTON,UNITED STATES,IA,FRS,0,1210730.0,,,,
3.0,f525,TEXAS BANK,texas bank,20171231.0,232856.0,200.0,TEXAS BANK,TEXAS BK,1.0,11.0,BROWNWOOD,UNITED STATES,TX,FDIC,0,232856.0,,,,
1.0,f542,TRADITIONS BANK,traditions bank,20171231.0,3194692.0,200.0,TRADITIONS BANK,TRADITIONS BK,1.0,6.0,CULLMAN,UNITED STATES,AL,FDIC,0,3194683.0,,,,
3.0,f546,UNION BANK,union bank,20171231.0,235231.0,200.0,UNION BANK,UNION BK,1.0,6.0,JAMESTOWN,UNITED STATES,TN,FDIC,0,1129542.0,,,,
1.0,f551,UNITED BANK,united bank,20171231.0,37435.0,200.0,UNITED BANK,UNITED BK,1.0,6.0,ZEBULON,UNITED STATES,GA,FDIC,0,1082777.0,,,,
3.0,f56,BANK,bank,20171231.0,952846.0,200.0,BANK,BANK,1.0,7.0,WAPELLO,UNITED STATES,IA,FRS,0,1205156.0,,,,
1.0,f584,WESTERN BANK,western bank,20171231.0,156952.0,200.0,WESTERN BANK,WESTERN BK,1.0,11.0,ALAMOGORDO,UNITED STATES,NM,FDIC,0,1137631.0,,,,
1.0,f589158,GREAT PLAINS BANK,great plains bank,20171231.0,589158.0,200.0,GREAT PLAINS BANK,GREAT PLAINS BK,1.0,9.0,EUREKA,UNITED STATES,SD,FDIC,0,1125898.0,,,,
1.0,f59,BANK OF TENNESSEE,bank of tennessee,20171231.0,340135.0,200.0,BANK OF TENNESSEE,BANK OF TN,1.0,6.0,KINGSPORT,UNITED STATES,TN,FDIC,549300CTISSNREVLNO46,1135002.0,,,,
3.0,f614751,MANHATTAN BANK,manhattan bank,20171231.0,614751.0,200.0,MANHATTAN BANK,MANHATTAN BK,1.0,9.0,MANHATTAN,UNITED STATES,MT,FDIC,549300FPSZGZH4IL7891,2851318.0,,,,
1.0,f719610,FIRST NATIONAL BANK OF MANCHESTER,first national bank of manchester,20171231.0,290230.0,200.0,FIRST NATIONAL BANK OF MANCHESTER,FIRST NB OF MANCHESTER,1.0,6.0,MANCHESTER,UNITED STATES,TN,OCC,0,1085488.0,,,,
2.0,f72,BERKSHIRE BANK,berkshire bank,20171231.0,473501.0,200.0,BERKSHIRE BANK,BERKSHIRE BK,1.0,1.0,PITTSFIELD,UNITED STATES,MA,FDIC,549300LR1ZETOWYE9Z89,2333663.0,,,,
1.0,f76,BLUE RIDGE BANK,blue ridge bank,20171231.0,174321.0,200.0,BLUE RIDGE BANK,BLUE RIDGE BK,1.0,5.0,WALHALLA,UNITED STATES,SC,FDIC,549300HOJEG7WXFB2S62,3614668.0,,,,
1.0,f84,BRIGHTON BANK,brighton bank,20171231.0,227656.0,200.0,BRIGHTON BANK,BRIGHTON BK,1.0,8.0,BRIGHTON,UNITED STATES,TN,FDIC,0,1140248.0,,,,
1.0,f89,BUSINESS FIRST BANK,business first bank,20171231.0,3408728.0,200.0,BUSINESS FIRST BANK,BUSINESS FIRST BK,1.0,6.0,BATON ROUGE,UNITED STATES,LA,FDIC,0,3488850.0,,,,
3.0,f968744,FIRST CHOICE BANK,first choice bank,20171231.0,968744.0,200.0,FIRST CHOICE BANK,FIRST CHOICE BK,1.0,8.0,PONTOTOC,UNITED STATES,MS,FRS,0,2524911.0,,,,
1.0,1037003,M&T BANK CORPORATION,,20171231.0,3407084.0,340.0,LCA BANK CORPORATION,LCA BK CORP,1.0,12.0,PARK CITY,UNITED STATES,UT,FDIC,0,3407084.0,mt bank corporation,mt bank corporation,lca bank corporation,lca bank corporation
1.0,3721511,OCULINA BANC CORP,,20171231.0,3407084.0,340.0,LCA BANK CORPORATION,LCA BK CORP,1.0,12.0,PARK CITY,UNITED STATES,UT,FDIC,0,3407084.0,oculina banc corporation,oculina banc corporation,lca bank corporation,lca bank corporation
1.0,1048773,VALLEY NATIONAL BANCORP,,20171231.0,229801.0,200.0,VALLEY NATIONAL BANK,VALLEY NB,1.0,2.0,PASSAIC,UNITED STATES,NJ,OCC,0,1048773.0,valley national bancorp,valley national bancorp,valley national bank,valley national bank
