Year,File Type,File Name,Column Name
,TS,hmda_2015_transmittal_sheet.csv,Other Lender Code
,TS,hmda_2015_transmittal_sheet.csv,Region Code
,TS,hmda_2015_transmittal_sheet.csv,LAR Count
,TS,hmda_2015_transmittal_sheet.csv,Validity Error
,Panel,hmda_2014_panel.csv,Activity Year
,Panel,hmda_2014_panel.csv,Respondent ID
,Panel,hmda_2014_panel.csv,Agency Code
,Panel,hmda_2014_panel.csv,Parent Respondent ID
,Panel,hmda_2014_panel.csv,Parent Name (Panel)
,Panel,hmda_2014_panel.csv,Parent City (Panel)
,Panel,hmda_2014_panel.csv,Parent State (Panel)
,Panel,hmda_2014_panel.csv,Region
,Panel,hmda_2014_panel.csv,Assets
,Panel,hmda_2014_panel.csv,Other Lender Code
,Panel,hmda_2014_panel.csv,Respondent Name (Panel)
,Panel,hmda_2014_panel.csv,Respondent City (Panel)
,Panel,hmda_2014_panel.csv,Respondent State (Panel)
,Panel,hmda_2014_panel.csv,Top Holder RSSD ID
,Panel,hmda_2014_panel.csv,Top Holder Name
,Panel,hmda_2014_panel.csv,Top Holder City
,Panel,hmda_2014_panel.csv,Top Holder State
,Panel,hmda_2014_panel.csv,Top Holder Country
,Panel,hmda_2014_panel.csv,Respondent RSSD ID
,Panel,hmda_2014_panel.csv,Parent RSSD ID
,Panel,hmda_2014_panel.csv,Respondent FIPS State Number
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,as_of_year
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,respondent_id
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,agency_name
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,agency_abbr
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,agency_code
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,loan_type_name
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,loan_type
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,property_type_name
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,property_type
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,loan_purpose_name
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,loan_purpose
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,owner_occupancy_name
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,owner_occupancy
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,loan_amount_000s
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,preapproval_name
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,preapproval
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,action_taken_name
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,action_taken
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,msamd_name
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,msamd
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,state_name
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,state_abbr
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,state_code
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,county_name
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,county_code
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,census_tract_number
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,applicant_ethnicity_name
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,applicant_ethnicity
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,co_applicant_ethnicity_name
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,co_applicant_ethnicity
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,applicant_race_name_1
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,applicant_race_1
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,applicant_race_name_2
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,applicant_race_2
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,applicant_race_name_3
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,applicant_race_3
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,applicant_race_name_4
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,applicant_race_4
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,applicant_race_name_5
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,applicant_race_5
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,co_applicant_race_name_1
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,co_applicant_race_1
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,co_applicant_race_name_2
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,co_applicant_race_2
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,co_applicant_race_name_3
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,co_applicant_race_3
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,co_applicant_race_name_4
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,co_applicant_race_4
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,co_applicant_race_name_5
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,co_applicant_race_5
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,applicant_sex_name
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,applicant_sex
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,co_applicant_sex_name
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,co_applicant_sex
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,applicant_income_000s
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,purchaser_type_name
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,purchaser_type
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,denial_reason_name_1
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,denial_reason_1
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,denial_reason_name_2
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,denial_reason_2
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,denial_reason_name_3
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,denial_reason_3
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,rate_spread
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,hoepa_status_name
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,hoepa_status
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,lien_status_name
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,lien_status
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,edit_status_name
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,edit_status
,LAR,hmda_2014_nationwide_first-lien-owner-occupied-1-4-family-records_labels.csv,sequence_number
