activity_year_x,lei,tax_id,agency_code_x,id_2017,respondent_rssd,respondent_name_x,respondent_state_x,respondent_city_x,assets,other_lender_code,parent_rssd,parent_name,topholder_rssd,topholder_name,activity_year_y,calendar_quarter,agency_code_y,respondent_name_y,respondent_state_y,respondent_city_y,respondent_zip_code,lar_count
2023,549300C6TQAJABMFOR79,38-0481580,5,549992,549992,MICHIGAN FIRST CREDIT UNION,MI,Lathrup Village,1476814,0,-1,,-1,,2023,4,5,Michigan First Credit Union,MI,Lathrup Village,48076,2653
2023,549300POAFZ9PGU16760,65-0765849,1,2594419,2594419,Edison National Bank,FL,Fort Myers,513567,0,2591258,"EDISON BANCSHARES, INC.                                                                                                 ",2591258,"EDISON BANCSHARES, INC.                                                                                                 ",2023,4,1,Edison National Bank,FL,Fort Myers,33907,11
2023,549300CIQ950OK0BS407,85-0113445,5,955771,955771,Sandia Laboratory Federal Credit Union,NM,Albuquerque,3462666,0,-1,,-1,,2023,4,5,SANDIA LABORATORY FEDERAL CREDIT UNION,NM,ALBUQUERQUE,87109,1866
2023,549300C8GOC4OYUV0Z32,75-3021949,7,,-1,"DOMINION FINANCIAL SERVICES, LLC",MD,CHEVY CHASE,-1,3,-1,,-1,,2023,4,7,"Dominion Financial Services, LLC",MD,Baltimore,21202,3828
2023,549300CKKPTDS03YHG30,35-1089892,5,782481,782481,FIRST TRUST,IN,Michigan City,171712,0,-1,,-1,,2023,4,5,First Trust Credit Union,IN,Michigan City,46360,23
2023,549300C2LYW7GU30DV25,66-0433589,7,3872374,3872374,PREFERRED MORTGAGE CORPORATION,PR,San Juan,-1,3,-1,,-1,,2023,4,7,Preferred Mortgage Corporation,PR,San Juan,00918-2305,666
2023,549300PJ2WT35S77Q208,54-2118883,7,,-1,CONSUMER REAL ESTATE FINANCE CO.,FL,LOXAHATCHEE,-1,3,-1,,-1,,2023,4,7,Consumer Real Estate Finance Co / Society Mortgage,FL,Fort Lauderdale,33312,2204
2023,549300PI8J8CV6B53I58,38-3252110,3,2390929,2390929,Bank of Ann Arbor,MI,Ann Arbor,3016741,0,2454380,"ARBOR BANCORP, INC.                                                                                                     ",2454380,"ARBOR BANCORP, INC.                                                                                                     ",2023,4,3,Bank of Ann Arbor,MI,Ann Arbor,48104,189
2023,549300L6L2UXMLMG8616,95-2212779,5,656984,656984,Edwards Federal Credit Union,CA,Edwards,261685,0,-1,,-1,,2023,4,5,Edwards Federal Credit Union,CA,Edwards AFB,93524,21
2023,549300PPKM4YL2GY3713,53-0208722,5,971977,971977,SPECTRA CREDIT UNION,VA,Alexandria,597450,0,-1,,-1,,2023,4,5,NRL FEDERAL CREDIT UNION,VA,ALEXANDRIA,22312,379
2023,549300CPKDUJKREQRG38,20-4546870,1,3449066,3449066,"Investar Bank, National Association",LA,Baton Rouge,2751455,0,4090054,INVESTAR HOLDING CORPORATION,4090054,INVESTAR HOLDING CORPORATION,2023,4,1,INVESTAR BANK,LA,BATON ROUGE,70808,237
