idrssd,year,bank_name,assets_c,tier1_capital_c,total_loans_c
242444,2022,Tri City National Bank,2057266,192839,0
242949,2022,FNNB Bank,108467,7255,0
242958,2022,Baybank,131663,12270,0
242976,2022,Bay-Vanguard Bank,808169,93211,0
243375,2022,Green Dot Bank,3886749,329162,5148
243414,2022,"First National Bank Of Bellevue, The",304811,29819,0
243955,2022,PEOPLES BANK & TRUST CO.,68377,7014,0
244037,2022,FRIEND BANK,186711,16755,0
244149,2022,Bank of England,547610,74785,231717
244158,2022,WAYPOINT BANK,365416,37109,0
244251,2022,American State Bank & Trust Company,678412,77013,0
245016,2022,Habib American Bank,1942111,196661,0
245276,2022,ORIENTAL BANK,9805742,908717,82662
245351,2022,Frazer Bank,347807,28092,0
245557,2022,Superior National Bank and Trust Company,1073220,97798,9687
246022,2022,Bank of South Carolina,678959,55460,2774
246134,2022,First Southern State Bank,745901,67062,0
246237,2022,STATE BANK OF CERRO GORDO,36245,3671,0
246451,2022,Citizens Bank of Rogersville,127663,12491,0
246657,2022,Bank Of Labor,884135,59371,343
246947,2022,First National Bank of Sparta,105754,10856,0
246956,2022,Alva State Bank & Trust Company,440885,60715,0
247140,2022,One Community Bank,1614121,162510,1401
247355,2022,Security State Bank & Trust,1673145,168288,2734
247476,2022,"Roanoke Rapids Savings Bank, Ssb",90604,18744,532
247551,2022,High Plains Bank,307805,27926,0
247908,2022,Kennebunk Savings Bank,1825648,176351,0
248240,2022,Bank Of Springfield,1454541,109076,1469
248352,2022,Western Nebraska Bank,152528,14004,0
248455,2022,FIRST STATE BANK & TRUST,502585,67617,0
248633,2022,First Jackson Bank,396919,40593,0
248745,2022,Oostburg State Bank,347025,36367,217
249416,2022,UNB BANK,174365,14743,0
249612,2022,Apple Bank For Savings,16056838,1163706,0
249658,2022,Rocky Mountain Bank & Trust,94848,8593,0
250430,2022,"First State Bank Of The South, Inc.",120213,17746,0
250476,2022,GN BANK,84657,10244,0
250850,2022,Community Bank,117690,13509,0
251352,2022,"Banccentral, National Association",549575,33500,0
251558,2022,"FIRST NATIONAL BANK & TRUST CO. OF IRON MOUNTAIN, THE",430366,33855,973
251745,2022,FIRST NATIONAL BANK OF EASTERN ARKANSAS,542753,50703,0
251978,2022,Homeland Federal Savings Bank,439298,40534,0
252041,2022,City State Bank,636179,50871,1359
252452,2022,PREFERRED BANK,138589,9786,0
252658,2022,COMMUNITY FIRST BANK,254329,25419,0
253356,2022,Moody National Bank,1614399,204158,0
253468,2022,River City Bank,3656715,309989,0
253646,2022,Nsb Bank,438359,35109,485
253730,2022,Sweet Water State Bank,120042,11357,0
253776,2022,First Savanna Savings Bank,10153,457,0
254317,2022,Bank Of Utica,1525372,295862,0
254504,2022,CATTARAUGUS COUNTY BANK,331756,34273,0
254849,2022,First Independence Bank,412314,44754,196
255350,2022,The Miners State Bank,162133,14920,603
255547,2022,Community Bank Of Trenton,97090,11125,0
255556,2022,Citizens Bank & Trust Company Of Ardmore,290963,22349,0
255574,2022,Fidelity Bank,1071980,163112,65517
255659,2022,Bank of Colorado,6574472,544533,21964
255873,2022,Home Savings Bank,180180,17287,0
256058,2022,AMERICAN NATION BANK,581869,52311,0
256076,2022,"RG BANK, A SAVINGS AND LOAN ASSOCIATION",139691,13389,0
256179,2022,Utah Independent Bank,138727,16223,0
256553,2022,Dacotah Bank,3383892,355271,1621
257233,2022,First Bank of Alabama,877527,87747,0
257345,2022,Peshtigo National Bank,278033,24282,0
257578,2022,First Federal Savings Bank,522853,51780,9904
